code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare,code,pubDate,statDate,NRTurnRatio,NRTurnDays,INVTurnRatio,INVTurnDays,CATurnRatio,AssetTurnRatio,code,pubDate,statDate,YOYEquity,YOYAsset,YOYNI,YOYEPSBasic,YOYPNI,code,pubDate,statDate,currentRatio,quickRatio,cashRatio,YOYLiability,liabilityToAsset,assetToEquity,code,pubDate,statDate,CAToAsset,NCAToAsset,tangibleAssetToAsset,ebitToInterest,CFOToOR,CFOToNP,CFOToGr,code,pubDate,statDate,dupontROE,dupontAssetStoEquity,dupontAssetTurn,dupontPnitoni,dupontNitogr,dupontTaxBurden,dupontIntburden,dupontEbittogr
sz000001,2016-10-21,2016-09-30,0.104073,0.228370,,18719000000.000000,1.330428,,17170411366.00,14631180387.00,sz000001,2016-10-21,2016-09-30,,,,,,0.030941,sz000001,2016-10-21,2016-09-30,0.261506,0.073941,0.055186,0.028302,0.055186,sz000001,2016-10-21,2016-09-30,,,,0.061872,0.928982,14.080947,sz000001,2016-10-21,2016-09-30,,,,,-1.865874,-8.170415,-1.865874,sz000001,2016-10-21,2016-09-30,0.104073,14.728870,0.030941,1.000000,0.228370,0.762174,,
sz000001,2017-10-21,2017-09-30,0.091144,0.239913,,19153000000.000000,1.341436,,17170411366.00,16917989651.00,sz000001,2017-10-21,2017-09-30,,,,,,0.026214,sz000001,2017-10-21,2017-09-30,0.100304,0.124046,0.023185,-0.027523,0.023185,sz000001,2017-10-21,2017-09-30,,,,0.125861,0.930482,14.384790,sz000001,2017-10-21,2017-09-30,,,,,-1.978969,-8.248682,-1.978969,sz000001,2017-10-21,2017-09-30,0.091144,14.492448,0.026214,1.000000,0.239913,0.767994,,
sz000001,2018-10-24,2018-09-30,0.089467,0.236038,,20456000000.000000,1.426407,,17170411366.00,17170246773.00,sz000001,2018-10-24,2018-09-30,,,,,,0.026260,sz000001,2018-10-24,2018-09-30,0.078492,0.068391,0.068031,0.075472,0.068031,sz000001,2018-10-24,2018-09-30,,,,0.067636,0.929825,14.250061,sz000001,2018-10-24,2018-09-30,,,,,-0.130504,-0.552894,-0.130504,sz000001,2018-10-24,2018-09-30,0.089467,14.434171,0.026260,1.000000,0.236038,0.770007,,
sz000001,2019-10-22,2019-09-30,0.089454,0.229424,,23621000000.000000,1.441983,,19405918198.00,19405752680.00,sz000001,2019-10-22,2019-09-30,,,,,,,sz000001,2019-10-22,2019-09-30,0.224639,0.106092,0.154722,0.157895,0.154722,sz000001,2019-10-22,2019-09-30,,,,0.097145,0.922304,12.870637,sz000001,2019-10-22,2019-09-30,,,,,0.820529,3.576479,0.820529,sz000001,2019-10-22,2019-09-30,0.089454,13.493794,,1.000000,0.229424,0.770016,,
sz000001,2020-10-22,2020-09-30,0.066685,0.192152,,22398000000.000000,1.389885,,19405918198.00,19405752680.00,sz000001,2020-10-22,2020-09-30,,,,,,,sz000001,2020-10-22,2020-09-30,0.245417,0.172409,-0.051776,-0.159091,-0.051776,sz000001,2020-10-22,2020-09-30,,,,0.166259,0.917465,12.116144,sz000001,2020-10-22,2020-09-30,,,,,0.263357,1.370569,0.263357,sz000001,2020-10-22,2020-09-30,0.066685,12.334859,,1.000000,0.192152,0.777007,,
sz000001,2021-10-21,2021-09-30,0.077385,0.229067,,29135000000.000000,1.837841,,19405918198.00,19405754475.00,sz000001,2021-10-21,2021-09-30,,,,,,0.027289,sz000001,2021-10-21,2021-09-30,0.083861,0.116439,0.300786,0.261261,0.300786,sz000001,2021-10-21,2021-09-30,,,,0.119370,0.919874,12.480324,sz000001,2021-10-21,2021-09-30,,,,,-0.989134,-4.318105,-0.989134,sz000001,2021-10-21,2021-09-30,0.077385,12.379448,0.027289,1.000000,0.229067,0.791992,,
sz000001,2022-10-25,2022-09-30,0.089322,0.265136,,36659000000.000000,2.260135,,19405918198.00,19405546950.00,sz000001,2022-10-25,2022-09-30,,,,,,0.027335,sz000001,2022-10-25,2022-09-30,0.093931,0.070483,0.258246,0.271429,0.258246,sz000001,2022-10-25,2022-09-30,,,,0.068440,0.918119,12.212808,sz000001,2022-10-25,2022-09-30,,,,,0.669135,2.523746,0.669135,sz000001,2022-10-25,2022-09-30,0.089322,12.324706,0.027335,1.000000,0.265136,0.794999,,
sz000001,2015-03-13,2014-12-31,0.162959,0.269756,,19802000000.000000,1.733233,73407000000.000000,11424894787.00,9836712150.00,sz000001,2015-03-13,2014-12-31,,,,,,0.036000,sz000001,2015-03-13,2014-12-31,0.168343,0.155792,0.300112,0.116129,0.300112,sz000001,2015-03-13,2014-12-31,,,,0.155002,0.940109,16.697027,sz000001,2015-03-13,2014-12-31,,,,,0.344940,1.278709,0.344940,sz000001,2015-03-13,2014-12-31,0.162959,16.780644,0.036000,1.000000,0.269756,0.755975,,
sz000001,2016-03-10,2015-12-31,0.149530,0.227374,,21865000000.000000,1.528094,96163000000.000000,14308676139.00,11804054579.00,sz000001,2016-03-10,2015-12-31,,,,,,0.040976,sz000001,2016-03-10,2015-12-31,0.233305,0.146671,0.104181,0.083333,0.104181,sz000001,2016-03-10,2015-12-31,,,,0.141152,0.935584,15.524142,sz000001,2016-03-10,2015-12-31,,,,,-0.018989,-0.083512,-0.018989,sz000001,2016-03-10,2015-12-31,0.149530,16.049321,0.040976,1.000000,0.227374,0.757991,,
sz000001,2017-03-17,2016-12-31,0.124283,0.209804,,22599000000.000000,1.316159,107715000000.000000,17170411366.00,14631180387.00,sz000001,2017-03-17,2016-12-31,,,,,,0.039452,sz000001,2017-03-17,2016-12-31,0.251833,0.178005,0.033570,0.015385,0.033570,sz000001,2017-03-17,2016-12-31,,,,0.172922,0.931547,14.608594,sz000001,2017-03-17,2016-12-31,,,,,0.102019,0.486260,0.102019,sz000001,2017-03-17,2016-12-31,0.124283,15.015173,0.039452,1.000000,0.209804,0.754936,,
